Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment
12849,31,144,517.82,4,4,4,444,Loyal Customer
12850,446,2,3.3,1,1,1,111,Lost
12851,97,77,193.46,3,4,3,343,Need Attention
12852,295,17,62.05,2,2,2,222,Hibernating
12853,135,148,592.29,3,4,5,345,Loyal Customer
12854,79,261,761.36,3,5,5,355,Loyal Customer
12855,373,67,362.75,2,3,4,234,At Risk
12856,8,311,789.48,5,5,5,555,Champion
12857,211,121,440.9,2,4,4,244,At Risk
12858,383,37,121.47,2,3,3,233,Hibernating
12859,459,21,57.25,1,2,2,122,Hibernating
12860,693,16,42.12,1,1,1,111,Lost
12861,620,4,24.0,1,1,1,111,Lost
12862,426,131,383.38,1,4,4,144,Cannot Lose Them
12863,52,48,194.98999999999998,4,3,3,433,Potential Loyalist
12864,138,7,4.7299999999999995,3,1,1,311,New Customer
12867,26,1050,1441.41,4,5,5,455,Champion
12868,186,134,350.40000000000003,3,4,4,344,Loyal Customer
12869,682,37,95.32,1,3,2,132,Hibernating
12870,375,93,423.54,2,4,4,244,At Risk
12871,84,18,50.56,3,2,2,322,Hibernating
12872,327,394,1028.45,2,5,5,255,At Risk
12873,282,35,120.33,2,2,3,223,Hibernating
12875,143,8,3.0100000000000002,3,1,1,311,New Customer
12877,4,274,543.23,5,5,5,555,Champion
12878,236,47,95.53,2,3,2,232,Hibernating
12879,45,10,18.32,4,1,1,411,New Customer
12880,382,36,148.42000000000002,2,2,3,223,Hibernating
12881,276,7,230.8,2,1,4,214,Cannot Lose Them
12882,9,13,83.69,5,1,2,512,New Customer
12883,25,42,248.93,4,3,4,434,Need Attention
12884,88,7,111.89,3,1,3,313,Promising
12885,63,71,255.10999999999999,3,3,4,334,Need Attention
12886,68,82,305.09000000000003,3,4,4,344,Loyal Customer
12887,384,13,61.65,2,1,2,212,Hibernating
12888,214,5,29.48,2,1,1,211,Hibernating
12889,381,25,127.33,2,2,3,223,Hibernating
12890,24,135,263.9,4,4,4,444,Loyal Customer
12891,186,11,4.22,3,1,1,311,New Customer
12892,397,18,59.58,2,2,2,222,Hibernating
12893,31,31,68.53,4,2,2,422,New Customer
12894,575,21,118.3,1,2,3,123,Hibernating
12895,42,22,70.9,4,2,2,422,New Customer
12897,205,14,52.85,2,1,2,212,Hibernating
12898,464,27,64.12,1,2,2,122,Hibernating
12899,414,17,86.14999999999999,1,2,2,122,Hibernating
12900,422,13,47.019999999999996,1,1,1,111,Lost
12901,9,116,170.1,5,4,3,543,Loyal Customer
12902,265,10,56.19,2,1,2,212,Hibernating
12903,429,41,93.59,1,3,2,132,Hibernating
12904,18,71,220.43,5,3,3,533,Potential Loyalist
12905,577,54,197.03,1,3,3,133,At Risk
12906,12,63,160.77,5,3,3,533,Potential Loyalist
12907,396,25,130.21,2,2,3,223,Hibernating
12908,176,5,2.96,3,1,1,311,New Customer
12909,40,158,784.22,4,4,5,445,Champion
12910,23,137,264.26,4,4,4,444,Loyal Customer
12911,552,236,748.2,1,5,5,155,Cannot Lose Them
12912,3,24,65.26,5,2,2,522,Promising
12913,5,92,285.11,5,4,4,544,Champion
12914,401,9,10.299999999999999,2,1,1,211,Hibernating
12915,149,60,306.32,3,3,4,334,Need Attention
12916,139,172,758.59,3,4,5,345,Loyal Customer
12917,128,50,183.6,3,3,3,333,Potential Loyalist
12918,626,1,10953.5,1,1,5,115,Cannot Lose Them
12919,8,50,130.22,5,3,3,533,Potential Loyalist
12920,17,59,183.6,5,3,3,533,Potential Loyalist
12921,9,1499,3429.78,5,5,5,555,Champion
12922,161,28,45.58,3,2,1,321,About to Sleep
12923,64,60,214.56,3,3,3,333,Potential Loyalist
12924,88,74,186.70000000000002,3,3,3,333,Potential Loyalist
12925,5,50,105.85,5,3,2,532,Potential Loyalist
12926,411,262,664.44,2,5,5,255,At Risk
12927,395,11,31.14,2,1,1,211,Hibernating
12928,35,179,345.08,4,5,4,454,Champion
12929,312,8,56.95,2,1,2,212,Hibernating
12930,78,25,74.87,3,2,2,322,Hibernating
12931,22,218,429.22,4,5,4,454,Champion
12932,539,95,197.23000000000002,1,4,3,143,At Risk
12933,24,289,901.87,4,5,5,455,Champion
12934,737,2,83.34,1,1,2,112,Lost
12935,2,254,660.52,5,5,5,555,Champion
12936,17,62,126.06,5,3,3,533,Potential Loyalist
12937,15,217,512.18,5,5,4,554,Champion
12938,26,9,11.44,4,1,1,411,New Customer
12939,64,86,223.39000000000001,3,4,3,343,Need Attention
12940,55,96,372.8,4,4,4,444,Loyal Customer
12941,724,27,44.44,1,2,1,121,Lost
12942,131,70,302.04,3,3,4,334,Need Attention
12943,558,25,127.75,1,2,3,123,Hibernating
12944,36,30,95.66,4,2,2,422,New Customer
12945,288,51,189.43,2,3,3,233,Hibernating
12946,437,20,66.35,1,2,2,122,Hibernating
12947,144,97,317.21999999999997,3,4,4,344,Loyal Customer
12948,16,125,354.98,5,4,4,544,Champion
12949,31,715,2216.97,4,5,5,455,Champion
12950,2,23,31.95,5,2,1,521,Promising
12951,9,194,554.98,5,5,5,555,Champion
12952,6,79,320.95,5,4,4,544,Champion
12953,10,48,243.36,5,3,4,534,Need Attention
12954,639,10,31.150000000000002,1,1,1,111,Lost
12955,1,180,304.19,5,5,4,554,Champion
12956,306,42,125.23,2,3,3,233,Hibernating
12957,10,490,1644.38,5,5,5,555,Champion
12958,400,49,211.59,2,3,3,233,Hibernating
12959,484,8,30.4,1,1,1,111,Lost
12960,414,70,144.12,1,3,3,133,At Risk
12961,379,40,65.05,2,3,2,232,Hibernating
12962,7,16,47.77,5,1,2,512,New Customer
12963,8,174,581.5,5,5,5,555,Champion
12964,437,26,94.17,1,2,2,122,Hibernating
12965,89,108,397.26,3,4,4,344,Loyal Customer
12966,10,10,34.230000000000004,5,1,1,511,New Customer
12967,358,65,310.96,2,3,4,234,At Risk
12968,112,5,16.45,3,1,1,311,New Customer
12969,603,5,22.95,1,1,1,111,Lost
12970,7,345,753.7,5,5,5,555,Champion
12971,4,407,1018.59,5,5,5,555,Champion
12972,414,77,248.07,1,4,4,144,Cannot Lose Them
12973,414,6,170.25,1,1,3,113,Cannot Lose Them
12974,198,32,173.56,2,2,3,223,Hibernating
12975,437,112,509.96,1,4,4,144,Cannot Lose Them
12976,212,154,237.32999999999998,2,4,4,244,At Risk
12977,156,58,339.64,3,3,4,334,Need Attention
12978,385,163,423.41,2,4,4,244,At Risk
12980,158,52,784.8000000000001,3,3,5,335,Loyal Customer
12981,30,20,32.47,4,2,1,421,New Customer
12982,243,178,515.8100000000001,2,5,4,254,At Risk
12983,598,30,32.39,1,2,1,121,Lost
12984,19,4,15.4,5,1,1,511,New Customer
12985,1,76,145.49,5,4,3,543,Loyal Customer
12986,429,102,395.71999999999997,1,4,4,144,Cannot Lose Them
12987,74,66,325.98,3,3,4,334,Need Attention
12988,292,83,355.39,2,4,4,244,At Risk
12989,3,97,302.89,5,4,4,544,Champion
12990,31,27,53.95,4,2,2,422,New Customer
12991,23,45,182.0,4,3,3,433,Potential Loyalist
12992,725,6,27.3,1,1,1,111,Lost
12993,23,76,176.01,4,4,3,443,Need Attention
12994,4,61,256.96,5,3,4,534,Need Attention
12995,85,3,5.87,3,1,1,311,New Customer
12996,376,22,126.1,2,2,3,223,Hibernating
12997,22,107,316.4,4,4,4,444,Loyal Customer
12998,493,58,92.41,1,3,2,132,Hibernating
12999,196,28,71.38,2,2,2,222,Hibernating
13000,107,62,220.69,3,3,3,333,Potential Loyalist
13001,4,1015,2517.71,5,5,5,555,Champion
13002,318,23,72.27,2,2,2,222,Hibernating
13003,106,6,13.5,3,1,1,311,New Customer
13004,12,815,1894.71,5,5,5,555,Champion
13005,174,56,249.17,3,3,4,334,Need Attention
13006,56,4,21.18,4,1,1,411,New Customer
13007,580,11,65.95,1,1,2,112,Lost
13008,323,35,83.57,2,2,2,222,Hibernating
13009,673,4,7.8,1,1,1,111,Lost
13010,374,12,21.41,2,1,1,211,Hibernating
13011,372,3,12.65,2,1,1,211,Hibernating
13012,9,153,468.96,5,4,4,544,Champion
13013,1,487,1496.46,5,5,5,555,Champion
13014,11,225,931.38,5,5,5,555,Champion
13015,53,348,1754.95,4,5,5,455,Champion
13016,73,47,149.14,3,3,3,333,Potential Loyalist
13017,7,1,4.25,5,1,1,511,New Customer
13018,16,603,1638.08,5,5,5,555,Champion
13019,379,55,231.94,2,3,4,234,At Risk
13020,563,39,134.36,1,3,3,133,At Risk
13021,4,257,958.32,5,5,5,555,Champion
13023,64,76,394.93,3,4,4,344,Loyal Customer
13024,471,31,162.62,1,2,3,123,Hibernating
13025,732,13,27.84,1,1,1,111,Lost
13026,1,82,90.43,5,4,2,542,Potential Loyalist
13027,114,85,34.24,3,4,1,341,Potential Loyalist
13028,23,45,45.63,4,3,1,431,Potential Loyalist
13029,31,17,136.32999999999998,4,2,3,423,Potential Loyalist
13030,11,92,304.76,5,4,4,544,Champion
13031,407,407,1016.37,2,5,5,255,At Risk
13032,52,207,712.84,4,5,5,455,Champion
13033,357,13,33.1,2,1,1,211,Hibernating
13034,55,44,119.77,4,3,3,433,Potential Loyalist
13035,74,42,83.53,3,3,2,332,Hibernating
13036,685,6,57.95,1,1,2,112,Lost
13037,138,232,819.02,3,5,5,355,Loyal Customer
13038,80,28,77.23,3,2,2,322,Hibernating
13039,584,55,302.19,1,3,4,134,At Risk
13040,9,43,120.57000000000001,5,3,3,533,Potential Loyalist
13041,451,35,133.87,1,2,3,123,Hibernating
13042,598,184,573.98,1,5,5,155,Cannot Lose Them
13043,273,13,73.84,2,1,2,212,Hibernating
13044,291,416,1373.67,2,5,5,255,At Risk
13045,99,45,132.6,3,3,3,333,Potential Loyalist
13046,31,56,279.44,4,3,4,434,Need Attention
13047,32,381,1765.53,4,5,5,455,Champion
13048,14,265,508.96,5,5,4,554,Champion
13049,64,26,82.71,3,2,2,322,Hibernating
13050,15,984,2945.8,5,5,5,555,Champion
13051,579,4,21.45,1,1,1,111,Lost
13052,212,248,900.57,2,5,5,255,At Risk
13053,622,17,52.75,1,2,2,122,Hibernating
13055,78,154,349.57,3,4,4,344,Loyal Customer
13056,551,19,90.74,1,2,2,122,Hibernating
13057,530,40,79.84,1,3,2,132,Hibernating
13058,25,8,46.6,4,1,1,411,New Customer
13059,250,198,875.22,2,5,5,255,At Risk
13060,254,15,59.74,2,1,2,212,Hibernating
13061,72,10,34.03,3,1,1,311,New Customer
13062,191,11,75.00999999999999,3,1,2,312,About to Sleep
13063,481,12,27.5,1,1,1,111,Lost
13064,13,93,451.91,5,4,4,544,Champion
13065,373,62,264.22,2,3,4,234,At Risk
13066,24,48,152.32,4,3,3,433,Potential Loyalist
13067,82,32,146.2,3,2,3,323,Potential Loyalist
13068,10,2,3.44,5,1,1,511,New Customer
13069,1,1038,1951.5,5,5,5,555,Champion
13070,192,33,67.52,3,2,2,322,Hibernating
13071,612,12,49.27,1,1,2,112,Lost
13072,267,7,23.450000000000003,2,1,1,211,Hibernating
13073,411,27,95.97999999999999,2,2,2,222,Hibernating
13074,511,29,114.72,1,2,3,123,Hibernating
13075,130,22,44.87,3,2,1,321,About to Sleep
13076,458,9,35.85,1,1,1,111,Lost
13077,1,330,663.64,5,5,5,555,Champion
13078,3,791,3074.97,5,5,5,555,Champion
13079,4,17,52.69,5,2,2,522,Promising
13080,179,19,51.269999999999996,3,2,2,322,Hibernating
13081,12,2284,4906.67,5,5,5,555,Champion
13082,126,129,333.58,3,4,4,344,Loyal Customer
13083,4,22,63.86,5,2,2,522,Promising
13084,492,2,1.7,1,1,1,111,Lost
13085,158,84,299.13,3,4,4,344,Loyal Customer
13086,383,47,184.93,2,3,3,233,Hibernating
13087,726,15,85.77,1,1,2,112,Lost
13088,417,20,83.12,1,2,2,122,Hibernating
13089,3,3316,8929.210000000001,5,5,5,555,Champion
13090,9,274,1253.92,5,5,5,555,Champion
13091,28,45,1268.99,4,3,5,435,Loyal Customer
13092,71,105,550.5,3,4,5,345,Loyal Customer
13093,276,1037,2949.7,2,5,5,255,At Risk
13094,21,29,39.92,4,2,1,421,New Customer
13095,71,6,4.16,3,1,1,311,New Customer
13096,394,1,69.95,2,1,2,212,Hibernating
13097,33,1004,4296.83,4,5,5,455,Champion
13098,1,572,1578.79,5,5,5,555,Champion
13099,99,1,0.72,3,1,1,311,New Customer
13101,234,51,131.38,2,3,3,233,Hibernating
13102,1,481,1465.76,5,5,5,555,Champion
13103,40,33,76.06,4,2,2,422,New Customer
13104,3,30,65.38,5,2,2,522,Promising
13105,436,1,0.72,1,1,1,111,Lost
13106,133,16,212.66,3,1,3,313,Promising
13107,44,178,335.47,4,5,4,454,Champion
13108,373,35,49.56,2,2,2,222,Hibernating
13109,60,70,197.04,4,3,3,433,Potential Loyalist
13110,31,252,1212.8700000000001,4,5,5,455,Champion
13111,719,12,23.66,1,1,1,111,Lost
13112,541,2,2.95,1,1,1,111,Lost
13113,1,378,1397.57,5,5,5,555,Champion
13114,731,16,89.54,1,1,2,112,Lost
13115,12,314,793.15,5,5,5,555,Champion
13116,138,30,135.65,3,2,3,323,Potential Loyalist
13117,22,162,385.95,4,4,4,444,Loyal Customer
13118,20,148,639.64,4,4,5,445,Champion
13119,669,11,16.65,1,1,1,111,Lost
13120,239,1,2.55,2,1,1,211,Hibernating
13121,269,50,84.44,2,3,2,232,Hibernating
13122,94,55,145.01,3,3,3,333,Potential Loyalist
13123,473,45,144.67,1,3,3,133,At Risk
13124,90,283,862.3,3,5,5,355,Loyal Customer
13125,524,20,91.03,1,2,2,122,Hibernating
13126,5,238,540.79,5,5,5,555,Champion
13127,78,15,43.28,3,1,1,311,New Customer
13128,631,1,8.5,1,1,1,111,Lost
13129,452,11,20.46,1,1,1,111,Lost
13130,94,2,4.5,3,1,1,311,New Customer
13131,23,149,469.68,4,4,4,444,Loyal Customer
13132,262,3,14.8,2,1,1,211,Hibernating
13133,274,12,62.75,2,1,2,212,Hibernating
13134,86,121,401.34,3,4,4,344,Loyal Customer
13135,197,18,73.92,2,2,2,222,Hibernating
13136,56,315,914.41,4,5,5,455,Champion
13137,11,1394,3102.94,5,5,5,555,Champion
13138,22,85,263.55,4,4,4,444,Loyal Customer
13139,16,265,837.84,5,5,5,555,Champion
13140,108,105,362.94,3,4,4,344,Loyal Customer
13141,85,424,955.49,3,5,5,355,Loyal Customer
13142,19,23,68.93,5,2,2,522,Promising
13143,585,23,62.75,1,2,2,122,Hibernating
13144,333,6,27.9,2,1,1,211,Hibernating
13145,40,9,323.01,4,1,4,414,Promising
13146,26,17,34.46,4,2,1,421,New Customer
13147,10,4,19.8,5,1,1,511,New Customer
13148,29,763,2689.25,4,5,5,455,Champion
13149,14,86,247.84,5,4,4,544,Champion
13150,484,8,55.47,1,1,2,112,Lost
13151,296,158,799.15,2,4,5,245,At Risk
13152,417,135,542.75,1,4,5,145,At Risk
13153,6,15,19.17,5,1,1,511,New Customer
13154,399,93,301.89,2,4,4,244,At Risk
13155,33,112,307.11,4,4,4,444,Loyal Customer
13156,385,104,345.36,2,4,4,244,At Risk
13157,49,251,465.51,4,5,4,454,Champion
13158,95,100,202.83,3,4,3,343,Need Attention
13159,9,120,322.09,5,4,4,544,Champion
13160,22,4,12.1,4,1,1,411,New Customer
13161,313,33,183.29,2,2,3,223,Hibernating
13162,122,238,543.71,3,5,5,355,Loyal Customer
13163,610,2,10.7,1,1,1,111,Lost
13164,569,10,51.699999999999996,1,1,2,112,Lost
13165,46,49,40.65,4,3,1,431,Potential Loyalist
13166,283,68,175.81,2,3,3,233,Hibernating
13167,19,81,235.45,5,4,4,544,Champion
13168,36,173,557.3100000000001,4,4,5,445,Champion
13169,64,18,78.02,3,2,2,322,Hibernating
13170,27,30,47.28,4,2,1,421,New Customer
13171,22,46,186.05,4,3,3,433,Potential Loyalist
13172,400,1,1.45,2,1,1,211,Hibernating
13173,4,216,637.26,5,5,5,555,Champion
13174,16,938,3191.4,5,5,5,555,Champion
13175,582,46,185.85,1,3,3,133,At Risk
13176,46,67,188.63,4,3,3,433,Potential Loyalist
13177,65,30,99.15,3,2,2,322,Hibernating
13178,26,687,1344.63,4,5,5,455,Champion
13179,619,34,70.84,1,2,2,122,Hibernating
13180,607,4,15.05,1,1,1,111,Lost
13181,381,19,53.07,2,2,2,222,Hibernating
13182,45,11,7.54,4,1,1,411,New Customer
13183,8,156,293.35,5,4,4,544,Champion
13184,15,179,331.29,5,5,4,554,Champion
13185,268,1,5.95,2,1,1,211,Hibernating
13186,40,79,256.64,4,4,4,444,Loyal Customer
13187,337,56,155.42,2,3,3,233,Hibernating
13188,11,2,19.15,5,1,1,511,New Customer
13189,19,29,11.36,5,2,1,521,Promising
13190,544,17,70.36,1,2,2,122,Hibernating
13191,658,59,110.83,1,3,3,133,At Risk
13192,95,162,479.07,3,4,4,344,Loyal Customer
13193,61,25,77.44,3,2,2,322,Hibernating
13194,136,10,25.53,3,1,1,311,New Customer
13195,414,46,99.35,1,3,2,132,Hibernating
13196,11,188,526.46,5,5,4,554,Champion
13197,610,19,87.19,1,2,2,122,Hibernating
13198,10,314,854.51,5,5,5,555,Champion
13199,4,203,496.59,5,5,4,554,Champion
13200,19,46,155.28,5,3,3,533,Potential Loyalist
13201,502,86,192.23,1,4,3,143,At Risk
13202,394,69,343.0,2,3,4,234,At Risk
13203,10,169,322.89,5,4,4,544,Champion
13204,731,57,237.18,1,3,4,134,At Risk
13205,443,1,10.95,1,1,1,111,Lost
13206,400,566,1107.84,2,5,5,255,At Risk
13207,15,13,48.08,5,1,2,512,New Customer
13208,59,252,632.67,4,5,5,455,Champion
13209,30,366,883.4,4,5,5,455,Champion
13210,94,22,33.26,3,2,1,321,About to Sleep
13211,10,201,307.84,5,5,4,554,Champion
13212,20,141,530.57,4,4,5,445,Champion
13213,57,204,536.02,4,5,5,455,Champion
13214,418,229,436.56,1,5,4,154,Cannot Lose Them
13215,402,1,0.85,2,1,1,211,Hibernating
13216,268,5,7.24,2,1,1,211,Hibernating
13217,122,5,10.05,3,1,1,311,New Customer
13218,127,5,4.6499999999999995,3,1,1,311,New Customer
13219,618,11,76.23,1,1,2,112,Lost
13220,78,53,224.67000000000002,3,3,3,333,Potential Loyalist
13221,240,66,330.95,2,3,4,234,At Risk
13222,577,1,2.95,1,1,1,111,Lost
13223,200,13,21.54,2,1,1,211,Hibernating
13224,60,108,249.94,4,4,4,444,Loyal Customer
13225,3,125,341.54,5,4,4,544,Champion
13226,273,28,73.89,2,2,2,222,Hibernating
13227,202,9,23.4,2,1,1,211,Hibernating
13228,81,2,3.58,3,1,1,311,New Customer
13229,226,10,40.6,2,1,1,211,Hibernating
13230,4,1251,3187.0,5,5,5,555,Champion
13232,13,202,649.1,5,5,5,555,Champion
13233,74,76,107.78,3,4,2,342,Potential Loyalist
13234,673,61,186.73,1,3,3,133,At Risk
13235,212,58,157.43,2,3,3,233,Hibernating
13236,24,36,145.24,4,2,3,423,Potential Loyalist
13237,388,24,128.65,2,2,3,223,Hibernating
13238,17,47,171.18,5,3,3,533,Potential Loyalist
13239,262,94,260.46,2,4,4,244,At Risk
13240,96,201,519.76,3,5,4,354,Loyal Customer
13241,412,40,104.07000000000001,1,3,2,132,Hibernating
13242,112,35,69.94,3,2,2,322,Hibernating
13243,203,205,595.59,2,5,5,255,At Risk
13244,93,27,101.19,3,2,2,322,Hibernating
13245,51,45,181.29,4,3,3,433,Potential Loyalist
13246,18,371,614.14,5,5,5,555,Champion
13247,18,25,52.69,5,2,2,522,Promising
13248,125,26,69.87,3,2,2,322,Hibernating
13249,92,35,94.74,3,2,2,322,Hibernating
13250,461,19,46.72,1,2,1,121,Lost
13251,402,25,38.29,2,2,1,221,About to Sleep
13252,394,19,88.95,2,2,2,222,Hibernating
13253,157,75,122.27,3,4,3,343,Need Attention
13254,376,4,10.09,2,1,1,211,Hibernating
13255,9,26,113.47999999999999,5,2,3,523,Promising
13256,14,1,0.0,5,1,1,511,New Customer
13257,436,7,51.25,1,1,2,112,Lost
13258,12,44,145.42,5,3,3,533,Potential Loyalist
13259,62,313,977.44,3,5,5,355,Loyal Customer
13260,61,8,39.74,3,1,1,311,New Customer
13261,269,9,49.4,2,1,2,212,Hibernating
13262,263,50,192.97,2,3,3,233,Hibernating
13263,1,1905,4438.77,5,5,5,555,Champion
13264,443,38,123.03999999999999,1,3,3,133,At Risk
13265,53,90,214.66,4,4,3,443,Need Attention
13266,11,307,551.32,5,5,5,555,Champion
13267,3,411,1434.25,5,5,5,555,Champion
13268,18,433,672.4,5,5,5,555,Champion
13269,1,486,1208.01,5,5,5,555,Champion
13270,366,1,2.95,2,1,1,211,Hibernating
13271,37,87,110.15,4,4,2,442,Potential Loyalist
13272,31,15,80.09,4,1,2,412,New Customer
13273,113,16,20.77,3,1,1,311,New Customer
13274,409,19,71.45,2,2,2,222,Hibernating
13275,384,48,102.78,2,3,2,232,Hibernating
13276,64,239,832.92,3,5,5,355,Loyal Customer
13277,16,23,30.55,5,2,1,521,Promising
13278,41,108,206.4,4,4,3,443,Need Attention
13279,78,9,23.43,3,1,1,311,New Customer
13280,122,205,607.38,3,5,5,355,Loyal Customer
13281,439,22,53.660000000000004,1,2,2,122,Hibernating
13282,18,51,212.62,5,3,3,533,Potential Loyalist
13283,60,20,49.9,4,2,2,422,New Customer
13284,331,13,57.17,2,1,2,212,Hibernating
13285,23,231,539.3,4,5,5,455,Champion
13286,600,49,202.81,1,3,3,133,At Risk
13287,603,53,161.87,1,3,3,133,At Risk
13288,443,10,47.88,1,1,2,112,Lost
13289,724,16,70.25,1,1,2,112,Lost
13290,438,1,208.63,1,1,3,113,Cannot Lose Them
13291,156,318,1040.19,3,5,5,355,Loyal Customer
13292,39,59,249.2,4,3,4,434,Need Attention
13293,392,72,243.05,2,3,4,234,At Risk
13294,190,102,362.54,3,4,4,344,Loyal Customer
13295,360,67,158.71,2,3,3,233,Hibernating
13296,137,53,99.37,3,3,2,332,Hibernating
13297,8,123,339.26,5,4,4,544,Champion
13298,1,2,7.5,5,1,1,511,New Customer
13299,268,62,289.47,2,3,4,234,At Risk
13300,169,55,221.38,3,3,3,333,Potential Loyalist
13301,104,81,213.65,3,4,3,343,Need Attention
13302,155,3,44.45,3,1,1,311,New Customer
13303,400,4,17.54,2,1,1,211,Hibernating
13304,351,78,275.39,2,4,4,244,At Risk
13305,4,200,715.91,5,5,5,555,Champion
13306,430,4,3.81,1,1,1,111,Lost
13307,120,15,48.54,3,1,2,312,About to Sleep
13308,23,71,206.63,4,3,3,433,Potential Loyalist
13309,7,130,194.07,5,4,3,543,Loyal Customer
13310,28,95,308.44,4,4,4,444,Loyal Customer
13311,4,26,107.14,5,2,2,522,Promising
13312,451,5,17.85,1,1,1,111,Lost
13313,22,187,423.27,4,5,4,454,Champion
13314,2,62,197.65,5,3,3,533,Potential Loyalist
13315,689,22,43.3,1,2,1,121,Lost
13316,37,173,436.34,4,4,4,444,Loyal Customer
13317,66,344,1278.591,3,5,5,355,Loyal Customer
13318,1,20,57.14,5,2,2,522,Promising
13319,5,923,3224.85,5,5,5,555,Champion
13320,78,149,268.24,3,4,4,344,Loyal Customer
13321,72,11,23.37,3,1,1,311,New Customer
13322,17,25,69.26,5,2,2,522,Promising
13323,3,21,95.55,5,2,2,522,Promising
13324,36,132,400.38,4,4,4,444,Loyal Customer
13325,82,12,36.34,3,1,1,311,New Customer
13326,432,13,37.89,1,1,1,111,Lost
13327,39,321,955.65,4,5,5,455,Champion
13328,316,17,31.919999999999998,2,2,1,221,About to Sleep
13329,32,118,275.33,4,4,4,444,Loyal Customer
13330,93,117,265.7,3,4,4,344,Loyal Customer
13331,402,12,142.15,2,1,3,213,About to Sleep
13332,14,21,63.74,5,2,2,522,Promising
13333,411,55,136.98,2,3,3,233,Hibernating
13334,82,474,1401.99,3,5,5,355,Loyal Customer
13336,77,51,127.62,3,3,3,333,Potential Loyalist
13337,546,87,301.38,1,4,4,144,Cannot Lose Them
13338,158,128,684.02,3,4,5,345,Loyal Customer
13339,201,54,282.72,2,3,4,234,At Risk
13340,45,215,1137.61,4,5,5,455,Champion
13341,261,42,175.65,2,3,3,233,Hibernating
13343,178,19,118.83,3,2,3,323,Potential Loyalist
13344,68,116,588.1,3,4,5,345,Loyal Customer
13345,288,20,112.9,2,2,3,223,Hibernating
13346,463,6,11.35,1,1,1,111,Lost
13347,70,8,60.16,3,1,2,312,About to Sleep
13348,64,14,30.88,3,1,1,311,New Customer
13349,11,16,64.42,5,1,2,512,New Customer
13350,16,40,332.63,5,3,4,534,Need Attention
13351,66,16,103.97,3,1,2,312,About to Sleep
13352,60,24,90.71,4,2,2,422,New Customer
13354,71,51,94.28,3,3,2,332,Hibernating
13355,122,32,87.23,3,2,2,322,Hibernating
13356,80,42,181.28,3,3,3,333,Potential Loyalist
13357,257,394,1242.48,2,5,5,255,At Risk
13358,269,29,145.19,2,2,3,223,Hibernating
13359,64,56,311.85,3,3,4,334,Need Attention
13360,432,66,229.51,1,3,4,134,At Risk
13361,472,34,150.9,1,2,3,123,Hibernating
13362,9,298,1005.28,5,5,5,555,Champion
13363,18,102,344.78,5,4,4,544,Champion
13364,71,10,25.98,3,1,1,311,New Customer
13365,34,128,398.81,4,4,4,444,Loyal Customer
13366,50,1,0.39,4,1,1,411,New Customer
13367,432,20,92.2,1,2,2,122,Hibernating
13368,257,52,243.73000000000002,2,3,4,234,At Risk
13369,366,14,91.62,2,1,2,212,Hibernating
13370,372,39,145.39000000000001,2,3,3,233,Hibernating
13371,505,92,368.38,1,4,4,144,Cannot Lose Them
13372,90,23,138.47,3,2,3,323,Potential Loyalist
13373,61,358,1181.73,3,5,5,355,Loyal Customer
13374,415,17,102.75,1,2,2,122,Hibernating
